ID	adj.P.Val	P.Value	t	B	logFC	AveExpr	Symbol
ILMN_1373336	0.989462369072877	0.963359326689253	-0.0464457707114204	-6.67299612061879	-0.00224555832903484	7.83581281216016	LOC300742
ILMN_1375072	0.939257633415008	0.796469455249888	0.26095505490162	-6.67305202030528	0.013765889954529	7.45017033574023	RGD1311676_predicted
ILMN_1367524	0.958191301713864	0.856765483823794	0.182548542722646	-6.67305866925011	0.0108248527791384	7.80161571561133	Aip
ILMN_1364892	0.944632156688934	0.811733830359358	-0.240967386848665	-6.67309392926254	-0.0114749763826119	7.39002803557813	LOC363076
ILMN_1369154	0.920403564781069	0.74641238039855	-0.327319220531253	-6.67310141586501	-0.0124180839115562	7.67662151871484	LOC363057
ILMN_1366174	0.968963576582845	0.892041902075447	-0.137244822572859	-6.67311117764698	-0.00659153099274956	7.80780541410547	Nmu
ILMN_1349420	0.927349159226187	0.765661100429346	-0.301638857220032	-6.6731338885748	-0.0162927323074546	7.54444638369727	Grpr
ILMN_1360162	0.999822135605865	0.999338713227958	-0.000837933694251038	-6.67324140727992	-3.85633752983949e-05	7.83926194504492	Hpn
ILMN_1355771	0.938865776770591	0.795678637259559	-0.261993468313814	-6.67334152021748	-0.00929121693521839	7.46127781020117	RGD1566363_predicted
ILMN_1360081	0.920191189845871	0.745704107215524	-0.328268335409836	-6.67339860923659	-0.0119996791090156	7.64444136292188	LOC301114
ILMN_1369908	0.924043501893512	0.755916242169691	0.314612855543178	-6.67341244237353	0.0125040712118878	7.68715173168945	Lrrn3
ILMN_1367738	0.993716160770891	0.97623246924922	-0.0301212074142113	-6.67344211352876	-0.00134754693154537	7.83944344267578	CSN1S1
ILMN_1350373	0.944077518657663	0.809406417406131	-0.244008303339064	-6.67347591093187	-0.00938474492272157	7.42908271597266	Serpinb13_predicted
ILMN_1372179	0.94430546707846	0.810518727059486	-0.242554707097609	-6.67350927980062	-0.00974104492196126	7.42212386185547	Htr5a
ILMN_1356659	0.933708609480912	0.781814619109378	-0.280247108641231	-6.67354908691136	-0.0102960498802709	7.51137735880859	RGD1307755_predicted
ILMN_1358972	0.937617273487391	0.791801819521663	0.267088349959931	-6.67355054763982	0.0127723184426989	7.49107879080273	LOC502768
ILMN_1530218	0.922284713342543	0.750970886662783	0.321217918525766	-6.6735689372132	0.0119478519297802	7.60363589831445	
ILMN_1361488	0.943267250260759	0.807550497509769	0.246434866730953	-6.67357545982784	0.0140934747275221	7.38862347210742	Hist2h2aa_predicted
ILMN_1363310	0.946366778781217	0.818140952177391	-0.232607942671505	-6.67357593070549	-0.0109076755312865	7.76381735108594	Dll1
ILMN_1650455	0.992692004981368	0.972181113291294	0.0352576552232483	-6.67370271748452	0.00171481002340013	7.83210473001758	Ttll1
ILMN_1372782	0.924893976359966	0.75884396148006	-0.310709297349075	-6.67370897893889	-0.0233242692846467	7.66230505394336	Serpina3n
ILMN_1357741	0.944632156688934	0.811642213132992	-0.241087046670212	-6.67371704073549	-0.0103948915204377	7.37328640961328	Atp8a1_predicted
ILMN_1367411	0.945374068186022	0.814381729329395	0.237510551843511	-6.67379888726347	0.0112690555323898	7.40098271026562	Tff2
ILMN_1370501	0.944262538884142	0.810264036404542	0.242887496497241	-6.67384875825218	0.0112767403001763	7.37257391530859	LOC500207
ILMN_1350460	0.961430596845929	0.865983328962099	0.170676725520619	-6.67384893227949	0.00624885440618783	7.802773160125	LOC498527
ILMN_1649964	0.997050125256814	0.988613126399974	0.0144291250131896	-6.67387075457385	0.000697284301053536	7.83458649755078	RGD1564204_predicted
ILMN_1366349	0.923322786403911	0.754049256849145	-0.31710472665691	-6.67389250198951	-0.0112930119382435	7.59883634418164	Spint1
ILMN_1370836	0.92681906714473	0.764153535358417	-0.303642477081445	-6.67391495181101	-0.0114929390692895	7.70840369672266	RGD1560161_predicted
ILMN_1353670	0.946205550914405	0.817148877628917	0.233901191228862	-6.6739163717762	0.00921113361368864	7.34372291509375	Olr93_predicted
ILMN_1354894	0.922284713342543	0.75098316427905	0.32120150250485	-6.67393485179021	0.0151036954114456	7.58909432045508	LOC502270
ILMN_1366261	0.923322786403911	0.754656455548888	0.316294072872833	-6.67398175909876	0.0119218511753028	7.67747235273437	Apol2_predicted
ILMN_1366523	0.931873788326236	0.778053670004586	0.285215379507002	-6.67405771657385	0.0153670899723242	7.7267387438418	Olr1588_predicted
ILMN_1371583	0.943647747766157	0.80869727955345	-0.244935303878352	-6.67409602819629	-0.0101488850293654	7.40269826130664	LOC300874
ILMN_1362649	0.937321723921782	0.790546923187018	0.268739064475246	-6.67410729690451	0.0094363907818602	7.4865919983125	Ubiad1_predicted
ILMN_1352603	0.944632156688934	0.811840915959269	0.240827528580359	-6.67420847444115	0.010766789447139	7.42857813934766	LOC364426
ILMN_1358383	0.93972286970713	0.797397434113492	0.259736910473126	-6.67422790744994	0.0101355782086339	7.4712736241582	Kcnh1
ILMN_1360096	0.932287185157623	0.779354341147912	0.283496351155557	-6.67422932092608	0.0112985001086221	7.51955126471875	LOC360782
ILMN_1371327	0.94592685541794	0.81621300174293	0.23512155382153	-6.67423767553442	0.0098167926068804	7.36507116852734	LOC681180
ILMN_1355331	0.929538046045016	0.772215365189295	-0.292942451630594	-6.67426658386953	-0.0132474462582444	7.53529476595898	RGD1563029_predicted
ILMN_1354890	0.946366778781217	0.818134672390574	0.232616127599757	-6.67430328307966	0.00935034881801045	7.3449931760332	LOC501229
ILMN_1350689	0.92233502523051	0.75150559268316	-0.320503062919249	-6.67432702559932	-0.0153194556373331	7.66781341083398	Olr1138_predicted
ILMN_1359296	0.969221535559217	0.893821392936595	0.134968085014887	-6.6743280379826	0.00565011052341635	7.81304761604883	Piwil4
ILMN_1365470	0.983923649983107	0.945355848352491	-0.0692988707572562	-6.67433640532218	-0.00301981399361306	7.82876591424414	LOC365431
ILMN_1371838	0.945774437344719	0.815306863006041	-0.236303487315856	-6.67434504287345	-0.0102083285106875	7.37673076034766	LOC289038
ILMN_1368967	0.921663332119199	0.7496724345968	-0.322954547516407	-6.67437038129268	-0.0121247007660052	7.6609109075	RGD1565393_predicted
ILMN_1376686	0.946366778781217	0.81882958042051	-0.231710498937039	-6.67441135000932	-0.00860029746882773	7.35728631598242	Grin2a
ILMN_1367189	0.942744459869817	0.805645452891142	-0.24892723163835	-6.67442553562311	-0.0135548426971015	7.46129322214453	G6b
ILMN_1354770	0.976589552678832	0.917577059618587	0.10463920163323	-6.67444519499456	0.00481983443284673	7.82102473885156	LOC498932
ILMN_1353442	0.922089466371486	0.750592206919808	-0.321724283696495	-6.67445534568552	-0.0151502256806086	7.61405997173242	Sema4g_predicted
ILMN_1367556	0.943267250260759	0.807350347589188	0.246696647160995	-6.67447782086044	0.0112804418309853	7.45255430771875	LOC287651
ILMN_1369718	0.922284713342543	0.75125772605316	0.320834417936549	-6.67449283304632	0.0138158503584771	7.60270234826172	LOC501738
ILMN_1530205	0.932761200166384	0.780141655396816	-0.282456223059472	-6.6745145483338	-0.0121739172721833	7.51667623953125	
ILMN_1356028	0.92119072185447	0.748476036955712	-0.324555578947926	-6.67451478741866	-0.0162813913010647	7.62148530979297	LOC691406
ILMN_1375157	0.937888938753124	0.793496775030228	0.264859973943392	-6.67458158357453	0.0118870133743485	7.48253266858594	RGD1560959_predicted
ILMN_1363556	0.926752846268094	0.763676492664848	-0.304276751320608	-6.67460579276049	-0.0118564001610997	7.71050131467383	Olr1563_predicted
ILMN_1369732	0.945425394862805	0.814588781626867	0.237240369936601	-6.67460745956934	0.00939486729015027	7.41634795600586	Olr1543_predicted
ILMN_1350135	0.970442088763034	0.897280846179025	0.13054402591928	-6.6746156740056	0.00594474544353041	7.81263081597656	LOC685300
ILMN_1361025	0.996327994487732	0.984629401085957	0.0194777694005318	-6.67463728941165	0.000863626616627755	7.83666743537695	LOC363657
ILMN_1352689	0.934726980382011	0.784233429078907	-0.2770556300135	-6.67464194143015	-0.0124572172891213	7.73686719101562	Znf507_predicted
ILMN_1350756	0.922241437682378	0.75075686009441	0.321504101286254	-6.67464255728066	0.0146110890967019	7.60931587880078	LOC300314
ILMN_1364697	0.944453160311114	0.810826957019722	-0.242151998413869	-6.67465459422882	-0.0134721580974073	7.76387660608984	LOC503005
ILMN_1360951	0.9784438781213	0.925879073586968	0.0940651298450796	-6.67466223862138	0.0044043203550439	7.82509305403125	LOC288178
ILMN_1650702	0.937524348943362	0.791378276522275	-0.267645401584395	-6.67468500680607	-0.0127780923645364	7.73121402726758	LOC497825
ILMN_1350388	0.922698460790474	0.752610784028403	-0.31902605668299	-6.67471634529127	-0.0109678410329472	7.59393923732617	Cd226_predicted
ILMN_1370620	0.94664411959272	0.821038168814004	0.228833498270153	-6.67476975033761	0.010609558345239	7.76963535023633	RGD1562527_predicted
ILMN_1365154	0.935486704680494	0.785961679734893	-0.274777102955549	-6.67477297840756	-0.0148919485743439	7.7319299035625	Rdh13_predicted
ILMN_1352022	0.923322786403911	0.754665320993784	-0.316282238469727	-6.67478044058854	-0.0153075113676664	7.67032770545312	Olr1395_predicted
ILMN_1369546	0.926651207448678	0.763315715126551	0.304756524347929	-6.67481722171424	0.0114811301176001	7.70732783703125	Als2cr4_predicted
ILMN_1650191	0.92649026259553	0.76299382491897	0.305184645377518	-6.67489312925676	0.0148126930607324	7.55960893843555	LOC501708
ILMN_1351622	0.922376795718275	0.751768007769852	-0.32015229896535	-6.67491357279329	-0.0134194179929779	7.61655112498242	RGD1564357_predicted
