,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Slc16a13,72,28,31,11,27,25,28,17
Bcl6b,360,212,144,78,203,111,147,181
Mir497,0,0,0,0,0,0,0,0
Mir195,0,0,0,1,0,0,0,0
RGD1308134,545,341,298,191,331,205,284,277
Rnasek,2649,1756,1547,925,1868,1028,2026,1509
Alox12,18,20,10,14,17,33,12,26
Alox12e,13,7,10,14,1,5,10,4
Alox15,102,61,122,64,56,106,90,65
Pelp1,370,251,177,165,234,98,177,174
Arrb2,199,72,71,49,94,67,74,69
Med11,55,37,45,20,47,32,39,34
Cxcl16,764,331,303,257,288,244,500,278
Zmynd15,4,6,7,3,0,1,5,3
Tm4sf5,0,0,0,0,0,0,0,0
Vmo1,2,3,2,0,2,0,1,1
Gltpd2,1,1,0,2,1,4,3,1
Psmb6,3760,2241,2157,1331,2386,1330,2932,1998
Pld2,285,136,104,72,132,81,122,93
Mink1,886,483,349,232,502,227,284,301
Chrne,64,187,159,129,162,68,304,196
LOC687707,12,17,13,16,11,11,29,14
Gp1ba,18,16,9,8,6,9,1,4
Slc25a11,17910,10764,10054,5791,12561,6196,11013,8806
Rnf167,2334,1686,1413,793,1827,899,1648,1169
Pfn1,1951,965,925,625,1130,652,1041,834
Eno3,204470,162826,129047,71246,126195,69327,144697,124542
Spag7,3117,1950,1765,1100,2114,1170,2146,1542
Camta2,1105,683,484,306,637,199,399,418
Inca1,20,9,13,9,17,4,9,6
Kif1c,1947,1202,844,518,1305,403,845,733
Zfp3,1293,785,709,380,866,435,782,553
Rabep1,1154,700,641,345,876,360,730,297
Nup88,1665,1205,1137,618,1130,704,1164,775
Rpain,766,471,403,244,519,282,517,393
C1qbp,1498,433,433,307,1079,263,521,475
Dhx33,38,31,17,7,28,17,22,14
Mis12,565,340,356,194,419,189,333,248
LOC691995,17,15,9,19,26,9,24,9
Nlrp1a,231,81,60,50,103,61,74,63
Wscd1,31,19,7,8,8,5,11,4
Aipl1,0,0,1,0,0,0,0,0
Fam64a,8,0,3,4,3,0,2,1
Txndc17,1702,966,994,554,1105,643,1342,930
Med31,410,325,307,156,282,191,406,280
Slc13a5,0,0,0,0,0,0,0,0
Fbxo39,4,1,1,0,0,3,1,1
Tekt1,15,9,9,5,11,8,11,1
Smtnl2,3610,1943,1385,876,1552,461,2266,1335
Ggt6,24,14,3,7,5,0,8,3
Mybbp1a,1674,1023,663,425,893,364,636,699
Spns2,174,112,76,55,68,45,81,63
Spns3,5,1,1,0,0,2,0,3
Ube2g1,9017,4775,3822,2151,5000,2438,4138,3830
Ankfy1,861,541,463,277,518,297,542,442
Cyb5d2,62,50,37,23,50,22,44,37
Atp2a3,192,121,89,65,118,51,71,80
P2rx1,44,30,15,14,33,32,21,19
Camkk1,31,18,11,8,28,16,15,17
RGD1308139,410,319,263,165,289,163,267,227
Itgae,536,245,207,149,285,147,347,260
P2rx5,228,161,135,81,191,69,90,86
Emc6,1688,987,877,657,1104,562,1141,891
Tax1bp3,812,467,440,279,498,307,537,373
Ctns,80,51,60,34,65,36,57,42
Shpk,20,7,12,7,10,8,10,14
Trpv1,11,5,5,5,11,3,7,0
Trpv3,4,3,5,0,8,4,4,3
Aspa,498,266,234,111,363,176,325,248
Spata22,0,0,0,0,1,0,0,1
Olr1482,0,0,0,0,0,0,0,0
Olr1466,0,0,0,0,0,0,0,0
Olr1467,0,0,0,0,0,0,0,0
Olr1468,0,0,0,0,0,0,0,0
Olr1471,0,0,0,0,0,0,0,0
Olr1469,0,0,0,0,0,0,0,0
Olr1481,0,0,0,0,0,0,0,0
Olr1470,0,0,0,0,0,0,0,0
Olr1472,0,0,0,0,0,0,0,0
Olr1474,0,0,0,0,0,0,0,0
Olr1475,0,0,0,0,0,0,0,0
Olr1479,0,0,0,0,0,0,0,0
Olr1485,0,0,0,0,0,0,0,0
Olr1486,0,0,0,0,0,0,0,0
Olr1488,0,0,0,0,0,0,0,0
Olr1490,0,0,0,0,0,0,0,0
Olr1491,0,0,0,0,0,0,0,0
Olr1492,0,0,0,0,0,0,0,0
Olr1496,0,0,0,0,0,0,0,0
Olr1498,0,0,0,0,0,0,0,0
Olr1499,0,0,0,0,0,0,0,0
Olr1500,0,0,0,0,0,0,0,0
Olr1501,0,0,0,0,0,0,0,0
Olr1504,0,0,0,0,0,0,0,0
Olr1505,0,0,0,0,0,0,0,0
Olr1507,0,0,0,0,0,0,0,0
Olr1509,0,0,0,0,0,0,0,0
Olr1512,0,0,0,0,0,0,0,0
Olr1511,0,0,0,0,0,0,0,0
Olr1513,0,0,0,0,0,0,0,0
Olr1514,0,0,0,0,0,0,0,0
Olr1516,0,0,0,0,0,0,0,0
Olr1517,0,0,0,0,0,0,0,0
Olr1520,0,0,0,0,0,0,0,0
Olr1519,0,0,0,0,0,0,0,0
Rap1gap2,197,120,102,58,149,64,69,88
Pafah1b1,2100,1220,1016,602,1445,760,1427,1004
Mnt,140,77,42,38,61,35,46,56
Sgsm2,180,95,99,61,73,57,92,63
Srr,883,578,462,254,559,281,496,395
Smg6,249,163,124,87,139,69,89,116
Hic1,8,6,4,2,4,1,9,5
Mir212,0,0,0,0,0,0,0,0
Mir132,0,0,0,0,0,0,0,0
Ovca2,71,34,41,33,48,25,36,19
Dph1,217,135,128,52,113,54,83,74
Rtn4rl1,59,24,4,16,24,7,18,17
Rpa1,1808,1110,1178,661,1188,668,1042,782
Smyd4,380,275,216,127,275,136,199,179
Serpinf1,4380,2265,2045,1655,2149,2177,2162,2176
Serpinf2,17,14,2,1,9,4,2,3
Wdr81,131,65,41,40,75,44,44,44
Mir22,81,57,47,18,47,35,43,51
Olr1515,0,0,0,0,0,0,0,0
Taok1,785,546,473,244,637,297,598,426
Abhd15,31,9,13,6,10,12,7,16
Tp53i13,230,64,58,34,74,43,63,53
Git1,1357,813,657,389,913,381,615,605
Coro6,9031,6742,5447,3365,7991,3285,4871,3925
Ssh2,842,546,418,267,549,315,456,365
Nsrp1,833,449,493,225,447,303,513,364
Mir423,4,0,1,1,1,1,1,0
Slc6a4,11,11,5,1,10,10,17,6
Blmh,1839,1308,1142,689,1359,717,1261,896
Tmigd1,0,0,0,1,0,0,0,1
Cpd,2524,1223,1276,633,1081,774,1474,958
Gosr1,908,600,487,284,599,282,539,461
Tusc5,198,97,82,30,52,89,42,92
Abr,380,225,170,119,178,88,146,152
Timm22,1351,665,762,419,792,475,813,636
Nxn,285,188,166,84,211,109,210,140
RGD1309077,519,334,326,173,383,175,319,243
Glod4,1565,1145,1003,710,1411,853,1589,773
Dbil5,7,3,2,0,0,0,4,0
Gemin4,278,138,136,90,184,90,121,108
Vps53,913,597,555,267,662,342,520,405
Fam101b,539,123,249,168,314,131,171,304
RGD1565611,0,0,0,0,0,0,0,0
Rph3al,85,45,38,33,57,16,34,37
Doc2b,14,10,4,2,1,0,5,1
Ywhae,34755,23063,21521,12457,22965,13375,25885,17870
Crk,160,101,82,40,122,51,69,86
Myo1c,1237,824,582,440,1000,397,611,557
Inpp5k,777,532,487,324,533,322,508,381
Pitpna,346,175,165,95,197,140,193,143
Slc43a2,732,398,436,282,438,249,355,398
Scarf1,746,430,311,248,389,208,324,312
Rilp,928,488,466,348,663,229,419,408
Prpf8,2475,1626,1467,956,1833,1008,1784,1287
Mir365,0,1,0,0,1,0,1,1
Mir3549,0,0,0,0,0,0,0,0
Mir193,0,0,0,0,0,0,0,0
Rab11fip4,10,1,2,2,5,0,1,1
Nf1,418,320,254,150,338,156,303,237
Evi2a,218,76,65,36,75,156,59,68
LOC100910940,233,70,51,18,93,76,85,75
Omg,9,16,5,7,8,9,9,5
Wsb1,1984,1320,874,506,1001,590,1237,864
Ksr1,314,223,155,106,166,79,169,190
Nos2,13,5,8,4,20,7,2,6
Lgals5,22,39,13,21,42,49,18,38
Lyrm9,1199,768,591,381,835,326,744,584
Fam58b,806,414,471,250,514,222,501,364
Nlk,104,51,54,22,84,36,52,49
Tmem97,321,247,244,118,190,124,258,190
Ift20,430,312,276,170,297,170,398,228
Tnfaip1,1593,1101,816,490,1045,547,841,773
Poldip2,8164,4120,3904,2403,4953,2227,3696,3650
Tmem199,1757,1011,1112,554,1166,613,1199,806
Sebox,1,0,0,1,0,0,0,0
Vtn,1124,698,631,336,1234,535,699,618
Sarm1,10,10,6,2,7,0,7,4
Slc46a1,120,53,41,30,60,28,35,43
Slc13a2,0,0,0,0,0,0,0,0
Foxn1,0,0,0,0,0,0,0,0
Unc119,77,23,39,10,34,15,38,24
Pigs,787,381,382,235,432,231,357,307
Aldoc,127,69,132,79,110,45,93,81
Spag5,31,20,24,15,11,8,7,15
Sdf2,992,640,659,324,643,408,757,495
Supt6h,1030,647,512,298,647,301,505,462
Proca1,52,22,22,15,29,14,20,20
Rab34,212,90,108,81,137,67,107,92
Rpl23a,1584,929,988,549,969,629,1177,805
Tlcd1,34,10,8,7,5,9,8,16
Nek8,41,22,12,5,16,7,12,12
Traf4,39,19,15,16,21,12,23,14
Fam222b,789,464,425,273,487,198,283,342
Flot2,4791,3582,2676,1895,3138,1317,2188,2599
Mir144,0,0,0,0,0,0,0,0
Mir451,0,0,0,0,0,0,0,0
Eral1,1215,904,655,395,982,485,940,632
Cryba1,9,7,5,8,3,4,9,1
Myo18a,4206,2853,1431,997,2174,803,1167,1860
Pipox,1,0,0,0,0,1,0,0
Sez6,17,10,12,4,14,8,10,6
Phf12,282,149,177,114,199,95,151,108
Lgals9,578,375,253,162,406,211,376,284
Crlf3,142,73,47,38,93,44,52,45
Tefm,1564,1004,1044,571,1406,758,1343,878
Adap2,239,109,88,59,166,83,113,92
Rnf135,175,93,98,58,141,69,107,95
Rhot1,1742,695,864,485,1054,405,891,713
Rhbdl3,70,44,55,33,55,20,83,36
RGD1310429,2364,1599,1301,668,1472,677,1320,1005
Mir632,0,0,0,0,0,0,0,0
Zfp207,2608,2071,1729,1027,1979,1202,2126,1427
Psmd11,8687,6273,5059,2878,5804,3320,5737,4206
Cdk5r1,5,5,0,0,0,0,2,1
Myo1d,586,332,313,150,271,169,328,218
Tmem98,640,375,319,250,305,292,448,260
Spaca3,0,0,0,0,0,0,0,0
Asic2,2,1,0,0,3,0,1,3
RGD1560058,0,0,0,0,0,0,0,0
Ccl2,252,69,71,52,71,75,125,55
Ccl7,122,19,39,16,20,31,43,23
Ccl11,23,13,26,8,9,35,11,23
Ccl12,9,1,1,0,1,3,1,3
Ccl1,0,1,2,1,0,0,1,2
Tmem132e,19,4,5,8,6,3,5,3
Cct6b,8,7,5,4,17,2,6,7
Zfp830,452,237,230,122,226,127,203,182
Lig3,318,201,170,95,198,81,142,148
Rffl,241,94,100,59,153,53,114,106
Rad51d,101,65,48,39,68,29,38,44
Fndc8,5,2,2,1,5,0,4,1
Nle1,312,216,135,99,171,65,147,137
Unc45b,4492,2922,2350,1475,2645,1159,2187,2311
Slfn13,280,123,93,36,89,64,103,81
Slfn2,997,537,356,241,435,314,421,388
Slfn3,667,229,114,58,133,133,165,247
LOC688925,1,0,0,0,0,1,0,0
Pex12,0,0,0,0,0,0,0,0
Ap2b1,467,305,222,144,250,146,273,202
Rasl10b,0,0,0,0,0,0,0,0
Gas2l2,0,0,0,0,0,0,0,0
Mmp28,0,0,0,0,0,0,0,0
Taf15,206,111,106,57,158,65,94,86
Ccl5,125,15,27,12,38,24,7,27
Ccl9,1,0,2,0,3,0,2,3
Ccl6,512,218,117,89,167,152,244,187
Ccl3,16,2,1,2,2,2,4,1
Ccl4,8,0,1,0,2,1,1,4
Wfdc18,10,3,1,2,1,8,8,2
LOC360228,26,22,22,32,5,26,42,8
Heatr6,530,279,249,154,311,150,332,221
Hnf1b,0,0,0,0,0,0,0,0
Ddx52,643,452,361,220,415,240,438,288
Synrg,419,227,216,126,321,150,191,191
Dusp14,42,18,20,14,22,6,14,14
Tada2a,416,286,270,139,303,192,276,268
Acaca,209,122,102,82,108,58,136,99
Aatf,507,387,308,207,333,184,285,224
Lhx1,0,0,0,0,0,0,0,0
Mrm1,166,65,64,48,93,32,74,48
Dhrs11,1395,898,851,447,947,501,828,693
Ggnbp2,1765,922,1052,499,1189,743,1121,715
Pigw,370,252,232,147,277,141,261,184
Myo19,585,357,428,196,448,276,381,236
Car4,661,260,336,297,543,238,256,319
Usp32,806,489,475,259,542,295,496,397
Appbp2,1095,608,649,420,764,446,811,601
Bcas3,1355,759,718,351,783,317,629,565
Ppm1d,251,151,186,65,157,130,166,95
Tbx2,15,5,7,0,4,5,4,2
Tbx4,3,0,0,0,1,1,0,1
Ints2,196,160,114,70,157,72,157,81
Med13,910,632,546,275,675,429,604,430
LOC497978,360,144,206,98,218,82,147,110
Trim25,404,259,179,112,224,118,156,154
Coil,291,240,186,137,249,110,208,163
Scpep1,1809,997,1029,584,988,722,1064,706
Akap1,2165,1101,1025,661,1460,569,850,835
Mrps23,1512,922,887,510,1080,606,1110,789
Cuedc1,556,346,294,167,371,150,353,280
Srsf1,3437,2048,1930,1196,2247,1212,2249,1533
Dynll2,2096,969,939,536,1308,496,960,905
Olr1523,0,0,0,0,0,0,0,0
Olr1522,0,0,0,0,0,0,0,0
Olr1521,0,0,0,0,0,0,0,0
Epx,4,1,3,0,1,1,0,0
Mks1,99,57,44,37,79,40,44,37
Lpo,3,0,0,1,0,2,2,1
Mpo,9,1,1,1,1,7,0,4
Mir142,0,1,0,0,0,0,0,0
Supt4h1,661,405,369,242,408,284,464,325
Rnf43,14,18,12,7,8,7,11,8
Mtmr4,1014,508,549,266,688,349,518,488
4-Sep,453,250,200,111,308,146,239,174
Rad51c,48,32,14,11,26,14,41,19
Ppm1e,16,9,5,6,11,11,5,5
Trim37,358,200,184,95,269,118,160,155
Ska2,56,25,20,23,22,18,33,23
Mir301a,1,0,1,1,0,1,1,0
Prr11,3,1,2,0,2,0,0,0
Gdpd1,1123,669,540,266,646,354,610,449
RGD1311564,233,141,88,50,89,41,88,106
Dhx40,822,569,499,222,555,334,522,433
Cltc,6257,4131,3840,1996,4547,2900,4979,3207
Ptrh2,427,251,258,122,306,167,377,238
Vmp1,3401,1962,1792,895,2044,1136,1950,1351
Mir21,10,5,5,1,6,2,7,4
Tubd1,223,124,98,83,109,62,116,81
Rps6kb1,2249,1631,1162,582,1503,688,1231,930
Nog,42,23,22,4,19,9,16,22
Pctp,83,33,27,13,33,9,28,22
Tmem100,786,485,362,274,354,236,1238,347
Mmd,594,172,211,195,208,156,293,198
Stxbp4,162,103,91,56,92,66,114,84
Cox11,169,59,104,50,139,59,82,88
Tom1l1,465,437,294,149,347,252,349,275
LOC303448,31,13,15,10,8,7,20,21
Kif2b,0,1,3,0,0,0,0,1
Utp18,400,230,141,81,238,109,222,188
Nme2,7066,4388,4216,2353,5140,2540,4703,3986
Nme1,184,116,92,48,117,60,134,69
Spag9,5157,3385,2816,1388,3587,1963,3007,2302
Tob1,3274,2412,2336,1072,2475,1719,2723,1888
Luc7l3,2033,1199,1188,610,1276,735,1391,870
Ankrd40,1086,745,534,333,773,327,593,489
Abcc3,89,35,24,16,21,20,22,18
Cacna1g,71,29,23,15,37,24,13,33
Spata20,104,38,63,24,65,37,61,41
Epn3,19,3,13,11,4,5,6,1
Mycbpap,22,10,12,7,13,5,11,4
LOC688146,46,36,25,7,34,16,24,13
Acsf2,1256,789,638,410,847,379,424,606
Chad,214,14,165,25,5,179,3,70
Lrrc59,455,247,194,139,249,118,164,199
Eme1,6,2,3,1,4,0,1,2
Mrpl27,2114,1464,1244,677,1455,736,1530,1212
Xylt2,169,65,80,44,58,38,52,50
Col1a1,3065,1419,1768,1238,1288,2251,1218,1466
Sgca,5180,3685,3350,1640,3781,1788,3440,2975
Hils1,10,9,8,4,3,2,4,3
Ppp1r9b,380,177,108,103,176,73,110,143
Samd14,4,4,1,4,2,0,4,0
Pdk2,13825,9123,7258,4270,8683,4402,7165,7110
Dlx3,0,0,0,0,0,0,0,0
Dlx4,1,2,0,1,0,0,2,0
Tac4,5,0,0,0,2,4,4,1
Kat7,1235,746,718,411,797,418,648,543
Fam117a,74,36,48,24,45,40,48,39
Slc35b1,2121,1460,1248,716,1466,868,1552,1082
Spop,12559,8363,7565,3769,8393,4081,7140,6279
Nxph3,1,1,2,0,5,1,1,0
Ngfr,19,12,11,7,7,7,13,10
Phb,2120,1286,1235,696,1331,757,1327,1034
Zfp652,202,139,97,59,111,63,83,90
Phospho1,3096,1718,955,928,1301,677,574,1026
Abi3,78,39,45,18,44,24,27,31
Gngt2,56,21,7,11,26,15,22,20
Igf2bp1,0,0,0,0,0,0,0,0
Gip,0,0,0,0,0,0,0,0
Snf8,1809,1114,955,557,1217,556,1071,906
Ube2z,54,39,22,22,30,15,40,26
Atp5g1,15880,8994,9358,5052,11130,6207,10066,7765
Hoxb13,0,0,0,0,0,0,0,0
Mir196c,0,0,0,0,0,0,0,0
Hoxb9,0,0,0,0,0,0,0,0
Hoxb8,1,0,0,0,0,0,0,0
Hoxb7,41,15,31,9,12,9,28,8
Hoxb5,23,17,13,9,12,2,13,11
Mir10a,0,0,0,0,0,0,0,0
Hoxb4,110,41,62,43,63,46,82,45
Hoxb3,7,11,5,1,9,5,3,1
Skap1,70,12,9,7,19,8,13,17
Snx11,260,150,139,82,210,71,123,116
Nfe2l1,1143,771,445,283,733,243,381,459
Copz2,308,129,188,156,240,113,220,183
Mir152,0,0,0,1,0,0,0,0
Cdk5rap3,1473,957,862,527,829,417,744,726
Pnpo,690,437,405,249,567,255,394,352
Sp2,149,69,65,57,85,30,50,56
Sp6,0,0,1,0,2,0,0,1
Scrn2,162,74,61,38,89,30,67,72
Lrrc46,38,62,42,27,32,21,47,31
Mrpl10,1374,904,739,459,949,491,778,688
Osbpl7,110,62,43,24,78,16,42,46
Tbx21,6,3,2,1,0,4,3,2
Tbkbp1,49,26,29,21,36,8,17,12
Kpnb1,727,428,408,187,462,256,416,330
Npepps,3046,1570,1885,943,1952,979,1749,1366
Mrpl45,6021,3725,3094,1933,4017,2021,3759,2607
Srcin1,7,2,0,1,3,1,0,3
LOC691153,0,0,0,0,0,0,1,0
Cisd3,912,471,577,320,681,341,722,466
Pcgf2,40,16,19,14,26,14,22,14
Psmb3,2198,1438,1309,768,1480,959,1850,1173
Pip4k2b,345,154,110,81,148,65,85,154
Cwc25,330,222,149,87,187,126,186,140
Rpl23,1869,1212,1054,654,1270,714,1404,985
Lasp1,602,310,221,196,274,142,247,209
Plxdc1,55,51,12,16,24,21,25,24
Arl5c,37,3,8,1,4,5,2,4
Cacnb1,2986,1851,1469,1083,1744,687,1111,1494
Rpl19,2533,1504,1361,775,1553,866,1779,1312
Stac2,1,0,0,0,0,1,1,1
Fbxl20,74,38,48,16,53,20,55,25
Med1,1834,1117,986,620,1284,592,1086,829
Cdk12,527,288,308,176,332,220,367,205
LOC257650,174,114,112,58,87,71,115,72
Neurod2,0,0,0,0,0,0,0,0
Ppp1r1b,0,0,0,0,0,1,1,0
Stard3,762,465,359,239,573,271,392,364
Pnmt,8,7,2,2,8,1,1,5
Perld1,150,107,57,47,81,26,59,62
Erbb2,8,15,6,4,2,6,3,3
Mien1,207,127,111,55,126,74,108,83
Grb7,0,0,0,0,1,0,0,0
Ikzf3,28,8,4,1,4,2,4,5
Zpbp2,18,9,4,2,6,3,5,6
Ormdl3,877,608,354,270,505,187,236,375
Gsdma,11,7,3,5,7,2,2,7
Psmd3,1875,1126,816,613,1126,540,958,826
Csf3,0,0,1,0,0,0,0,0
Med24,595,367,336,223,376,196,381,303
Thra,913,650,557,376,635,292,522,493
Nr1d1,559,691,1050,885,1526,716,803,570
Msl1,693,402,356,189,448,233,461,278
Casc3,301,127,127,92,168,60,102,116
Wipf2,45,15,20,10,14,9,10,19
Cdc6,11,4,1,2,6,0,0,1
Rara,300,122,114,78,146,68,107,104
Top2a,62,15,11,12,19,8,4,12
Igfbp4,820,386,360,267,370,327,416,291
Tns4,17,18,14,20,5,7,22,16
Ccr7,26,3,2,6,5,7,3,4
Smarce1,1671,977,768,508,1017,541,777,708
Krt24,0,0,0,1,0,0,1,0
Krt25,0,0,0,1,0,0,0,0
Krt26,2,1,0,2,3,0,1,0
Krt27,0,0,0,1,0,0,0,0
Krt28,0,0,0,1,1,0,0,0
Krt10,95,53,40,24,50,33,50,38
Krt12,5,5,8,7,9,0,2,0
Krt20,2,0,0,3,1,0,1,0
Krt23,0,0,0,0,0,0,0,0
Krt39,0,0,0,0,0,0,0,0
Krt40,0,0,0,0,0,0,0,0
Krtap1-5,0,0,0,0,0,0,0,0
LOC680428,0,0,0,0,0,0,0,0
Krtap31-1,0,0,0,0,0,0,0,0
Krt33a,0,0,0,0,0,0,0,0
Krt34,0,0,0,0,0,0,0,0
Krt31,0,0,0,0,0,0,0,0
Krt33b,0,0,0,0,0,0,0,0
Krt32,0,0,0,0,0,0,0,0
Krt35,0,0,0,0,0,0,0,0
Krt36,0,0,0,0,0,0,0,0
Krt13,51,9,19,18,5,14,26,14
Krt15,0,0,0,0,0,0,0,0
Krt19,616,336,329,343,97,354,446,242
Krt9,0,0,0,0,0,0,0,0
Krt14,68,24,9,18,1,1,8,3
Ka11,1,0,0,0,0,0,1,0
Krt16,0,0,0,1,0,0,0,0
Krt17,15,7,3,12,0,2,11,3
Krt42,2,0,0,1,0,0,1,0
Eif1,37530,23955,21300,11416,24132,13433,25357,17308
Gast,1,0,0,0,0,0,0,0
Hap1,6,3,7,2,5,1,4,0
Jup,1974,1184,786,589,973,481,780,756
Leprel4,27,13,21,13,43,9,24,11
Fkbp10,234,147,92,89,122,83,101,86
Nt5c3b,525,294,242,122,245,172,275,178
Klhl10,13,4,4,6,6,2,9,2
Klhl11,183,111,75,58,120,58,101,95
Acly,471,236,215,146,231,128,238,201
Ttc25,5,5,0,3,4,0,4,1
Cnp,534,482,198,186,348,141,295,236
Dnajc7,4106,2768,2312,1257,2702,1529,2618,1723
Nkiras2,1094,786,642,363,789,337,551,553
Dhx58,76,49,14,8,22,12,37,35
Kat2a,326,168,159,103,191,69,172,174
Hspb9,0,0,0,0,0,0,1,0
Rab5c,1029,679,486,344,608,311,446,451
Kcnh4,0,0,1,0,1,0,0,0
Hcrt,0,0,0,0,0,0,0,0
Ghdc,58,9,29,29,56,25,14,11
Stat5b,1410,927,785,478,998,401,702,673
Stat5a,249,124,120,72,130,60,122,100
Stat3,3181,1677,1617,1169,2137,989,1491,1295
Ptrf,146,101,78,57,114,31,70,60
Atp6v0a1,1422,861,658,445,896,474,816,647
Hsd17b1,15,6,4,3,10,5,1,6
Coasy,986,606,490,319,604,275,544,476
Mlx,1617,1139,968,520,1099,587,1057,880
Psmc3ip,239,150,160,83,168,108,178,139
Fam134c,414,287,257,138,294,162,234,175
Tubg1,911,572,569,349,617,269,519,402
Tubg2,49,30,10,10,31,13,42,18
Plekhh3,291,110,148,90,115,60,98,86
Ccr10,4,1,8,1,2,1,1,0
Cntnap1,22,8,8,5,11,5,8,11
Ezh1,1801,1277,960,591,1275,609,1145,922
Ramp2,648,356,355,176,397,276,333,260
Vps25,1098,615,587,377,689,416,674,510
Wnk4,35,28,10,4,9,5,8,10
Coa3,2072,1266,1290,803,1455,737,1649,1114
Cntd1,21,9,12,10,13,4,15,15
Becn1,3196,1935,1423,978,1941,840,1308,1281
Psme3,1298,845,658,408,870,378,761,607
Aoc2-ps1,64,40,15,16,23,15,14,27
Aoc3,1971,1338,1056,779,1390,927,1108,987
G6pc,2,2,3,5,1,3,0,1
Aarsd1,1211,836,716,435,896,398,799,608
Rpl27,1123,688,644,402,740,495,973,605
Ifi35,482,264,141,119,192,110,302,192
Vat1,420,229,179,136,177,107,175,137
Rnd2,64,18,25,21,20,22,34,18
Brca1,17,12,4,3,10,4,5,7
Nbr1,2439,1506,1421,858,1658,887,1353,1112
Tmem106a,139,69,31,28,48,39,62,41
Rdm1,795,488,473,245,503,260,526,391
Arl4d,62,11,13,17,5,28,23,18
Dhx8,350,225,176,123,239,101,145,141
Etv4,22,51,47,36,57,26,65,94
Meox1,65,29,27,22,16,5,17,19
Sost,0,0,0,0,0,0,0,0
Dusp3,6802,4099,2853,1595,3537,1731,3228,3221
RGD1565533,2,1,2,0,1,1,1,1
Mpp3,986,338,205,128,176,110,257,269
Mpp2,25,5,8,3,3,2,3,2
Ppy,0,0,0,0,0,0,0,1
Pyy,0,0,0,0,0,0,0,0
Nags,9,1,1,3,1,4,1,1
Tmem101,694,498,444,243,451,191,440,383
Lsm12,5372,3653,3210,1854,3439,1850,3671,2835
G6pc3,944,567,523,274,587,302,502,426
Hdac5,954,525,354,288,491,225,301,362
LOC303566,8,9,4,2,5,2,3,10
Asb16,552,380,307,241,433,150,299,357
Tmub2,867,569,470,250,647,294,462,342
Ubtf,1385,762,642,428,792,347,548,558
Slc4a1,9,24,5,7,39,28,21,35
Rundc3a,20,6,2,3,0,7,1,0
Slc25a39,2323,1319,1127,692,1730,640,1240,1238
Grn,1446,718,604,499,781,498,686,592
Fzd2,39,24,27,21,17,21,21,23
Ccdc43,5628,4047,3014,1795,3426,1710,3434,2814
Adam11,231,142,145,75,150,73,247,144
Gja7,213,120,103,50,136,69,176,106
Higd1b,59,58,33,30,65,37,53,45
Ccdc103,0,0,1,0,0,0,0,0
FAM187A,0,0,0,0,0,0,0,0
Gfap,2,0,1,0,0,0,1,0
Kif18b,10,7,0,3,3,0,0,3
C1ql1,0,0,0,0,0,0,1,0
Dcakd,247,139,114,97,174,79,181,121
Nmt1,1453,1107,960,467,1010,522,855,721
Plcd3,286,179,115,124,144,106,130,107
Acbd4,463,444,226,207,419,118,130,214
Hexim1,1062,687,534,348,630,280,435,418
Hexim2,190,150,141,76,155,94,72,91
Fmnl1,196,80,69,36,108,47,78,58
Spata32,0,0,0,0,0,0,0,0
Map3k14,184,74,93,54,57,25,83,59
Arhgap27,47,13,9,1,12,1,8,8
Plekhm1,400,242,162,120,248,105,164,178
Lyzl6,0,0,0,0,0,0,0,0
Rprml,1,0,1,0,0,0,0,0
Gosr2,1265,782,630,350,739,398,713,553
Wnt9b,3,1,0,0,0,1,0,1
Wnt3,0,0,1,1,0,0,0,0
Nsf,381,190,153,73,207,111,172,151
Arf2,863,622,435,263,619,324,501,371
Crhr1,0,0,0,0,0,0,0,0
Imp5,0,0,0,0,0,0,0,0
Mapt,3620,2076,1725,884,2125,956,1717,1278
Cdc27,920,602,554,253,796,356,626,468
Myl4,295,152,426,83,239,296,207,397
Itgb3,25,13,9,7,8,29,5,16
Efcab3,1,0,2,0,0,2,1,0
Mettl2,578,305,332,162,311,220,345,235
Tlk2,789,500,423,230,561,308,536,334
Mrc2,57,17,14,21,15,11,12,19
10-Mar,1,4,0,0,0,1,3,1
Tanc2,63,56,31,24,43,30,46,41
Cyb561,54,24,21,30,43,18,33,21
Ace,216,111,78,44,87,45,67,61
Ace3,1,0,0,0,0,0,0,0
Kcnh6,1,0,0,0,0,0,0,0
Dcaf7,757,470,434,273,515,295,497,370
Taco1,580,343,353,205,383,177,343,260
Map3k3,886,489,455,245,572,273,491,359
Limd2,112,12,10,11,16,5,13,14
Strada,424,281,227,142,282,160,262,215
Ccdc47,9103,5330,4915,2701,5432,2918,5281,3916
Ddx42,1304,841,708,434,897,457,725,661
Ftsj3,778,400,327,206,470,220,378,298
Psmc5,10084,6321,5688,3021,6182,3398,6219,4932
Smarcd2,806,255,334,183,198,159,301,164
Tcam1p,0,0,1,0,0,0,0,0
Gh1,0,0,1,0,0,0,0,0
Cd79b,180,7,6,4,5,12,4,15
Scn4a,2652,1498,1168,700,1364,602,1179,1105
Icam2,676,402,253,184,454,190,263,283
Ern1,149,77,64,38,92,40,60,47
Pecam1,1907,913,825,475,1191,647,778,712
Milr1,120,115,40,42,57,25,102,46
Polg2,158,90,122,85,98,54,96,68
