,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Gnas,10863,7059,7380,3931,7277,4224,8427,5782
LOC679203,689,414,368,250,430,191,409,302
Ctsz,1008,464,337,260,380,187,308,252
Atp5e,8181,5331,4988,3029,5456,3134,6515,4673
Slmo2,5635,3103,2875,1618,3622,1824,3210,2234
RGD1565819,0,0,0,0,0,0,0,0
Edn3,10,11,6,6,12,5,22,13
Ntsr1,33,13,4,5,3,1,5,1
Mrgbp,0,0,0,0,0,0,0,1
Ogfr,333,191,128,97,132,48,86,110
Bwk1,2595,1493,1543,816,2012,862,1564,1435
Slc17a9,17,12,5,4,7,8,13,8
Bhlhe23,0,0,0,0,0,0,0,0
Mir124-3,0,0,0,0,0,0,0,0
Ythdf1,940,597,588,286,623,337,705,431
Nkain4,153,78,75,79,48,64,152,73
Arfgap1,1262,811,585,376,669,329,424,499
Chrna4,11,0,7,0,1,2,2,2
Kcnq2,1,1,0,1,0,0,1,3
Eef1a2,2638,1769,1361,946,1734,782,1327,1248
Ppdpf,546,359,339,218,369,205,440,246
Ptk6,1,0,1,1,0,1,1,0
Srms,30,16,10,9,21,17,6,6
RGD1564340,0,1,0,0,0,0,0,0
Gmeb2,54,28,13,17,20,20,18,15
Stmn3,48,43,6,9,5,4,7,3
Rtel1,724,417,313,169,379,179,350,195
Arfrp1,858,563,470,274,569,317,528,390
Zgpat,191,94,92,68,148,52,59,78
Lime1,112,45,37,35,47,21,41,50
Zbtb46,40,25,23,10,16,11,16,23
Abhd16b,0,0,0,0,0,0,1,0
Tpd52l2,1081,718,585,325,669,349,619,549
Dnajc5,289,192,142,104,191,84,206,142
Uckl1,3401,2893,2365,1291,2717,1281,2792,2105
Zfp512b,138,91,82,37,106,40,88,81
Samd10,26,11,20,9,19,9,15,17
Prpf6,841,600,483,282,525,290,504,389
RGD1561282,11,5,3,6,5,0,3,0
Sox18,170,49,65,42,125,24,62,25
Tcea2,93,44,46,16,50,24,42,38
Rgs19,194,99,84,41,90,42,72,92
RGD1306208,0,0,0,0,0,0,0,0
Oprl1,0,0,0,0,0,0,0,0
Myt1,0,0,0,1,1,0,1,0
Pcmtd2,4507,2723,2740,1131,3003,1721,2717,2048
Polr3k,3336,2142,2030,1204,2053,1141,2509,1609
Slco4a1,16,5,1,2,3,4,6,10
Gata5,14,4,8,3,0,3,3,2
Rps21,650,429,400,235,389,293,539,345
Lama5,102,64,63,45,65,38,43,64
Adrm1,2326,1251,1025,756,1379,590,977,988
Osbpl2,1677,916,878,442,1068,514,667,607
Hrh3,2,0,1,0,1,0,0,0
Gtpbp5,1630,1194,1005,604,1235,600,1035,1001
Ss18l1,38,12,21,15,26,8,14,19
Psma7,7357,4646,4013,2364,4703,2739,5397,3912
Cdh26,95,87,97,78,94,57,104,37
Fam217b,27,19,25,5,21,15,12,10
Ppp1r3d,175,79,89,56,151,63,84,96
Sycp2,16,13,11,4,14,12,16,6
Phactr3,4,1,2,0,0,1,0,1
Htr5a,0,0,0,0,0,0,0,0
Insig1,730,171,179,145,348,125,187,203
En2,0,0,0,0,0,0,1,0
Rbm33,113,84,62,39,65,46,70,52
Shh,0,0,0,0,0,0,0,0
Olr1226,0,0,0,0,0,0,0,0
Olr1227,0,0,0,0,0,0,0,0
Olr1228,0,0,0,0,0,0,0,0
Olr1229,0,0,0,0,0,0,0,0
Olr1234,0,0,0,0,0,0,0,0
Olr1230,0,0,0,0,0,0,0,0
Olr1231,0,0,0,0,0,0,0,0
Olr1232,0,0,0,0,0,0,0,0
Olr1233,0,0,0,0,0,0,0,0
Olr1235,0,0,0,0,0,0,0,0
Olr1236,0,0,0,0,0,0,0,0
Olr1237,0,0,0,0,0,0,0,0
Olr1238,0,0,0,0,0,0,0,0
Olr1239,0,0,0,0,0,0,0,0
Olr1240,0,0,0,0,0,0,0,0
Olr1241,0,0,0,0,0,0,0,0
Olr1242,0,0,0,0,0,0,0,0
Olr1243,0,0,0,0,0,0,0,0
Olr1244,0,0,0,0,0,0,0,0
Olr1245,0,0,0,0,0,0,0,0
Olr1247,0,0,0,0,0,0,0,0
Olr1248,0,0,0,0,0,0,0,0
Olr1249,0,0,0,0,0,0,0,0
Olr1250,0,0,0,0,0,0,0,0
Olr1251,0,0,0,0,0,0,0,0
Olr1096,0,0,0,0,0,0,0,0
Rnf32,46,24,20,12,25,22,25,10
Lmbr1,236,128,144,88,139,79,152,96
Hlxb9,0,0,0,0,0,0,0,0
Dnajb6,4369,2773,2807,1606,3012,1330,2605,1779
Il6,7,4,3,1,0,3,0,0
Paxip1,150,84,62,38,89,55,64,40
Dpp6,3,3,13,4,7,0,8,1
Actr3b,1549,1045,1001,608,1241,527,990,719
Xrcc2,128,79,64,47,69,39,97,46
Cct8l1,0,0,0,0,0,0,0,0
Galnt11,1368,417,509,387,734,239,506,494
Galntl5,4,5,2,2,1,1,5,3
